saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2009,6,144042.4601,1620,3,1,1.5,1912,Harrison,Near North,12474,0,FALSE
2013,6,183015.1649,2296,3,1,1.2,1951,Armatage,Southwest,5715,0,FALSE
2013,12,226827.2104,2772,5,3,1.7,1912,King Field,Southwest,5292,0,FALSE
2005,4,665524.0062,2668,3,3,2,1911,Lynnhurst,Southwest,5400,1,TRUE
2007,7,155238.6045,1240,2,1,1.5,1904,Cleveland,Camden,5359,0,FALSE
2013,1,233698.5225,1544,2,1,1.2,1922,Howe,Longfellow,6016,0,FALSE
2015,6,324372.4191,1929,2,1,1.7,1912,East Harriet,Southwest,5334,0,FALSE
2009,8,294269.6354,2136,3,2,1,1955,Armatage,Southwest,6384,2,TRUE
2013,6,376012.9751,2683,3,3,1.2,1941,Waite Park,Northeast,6875,2,TRUE
2007,9,351105.5829,2280,3,1,1.2,1946,Diamond Lake,Nokomis,6105,2,TRUE
2015,10,215817.6442,1596,2,1,1,1925,Field,Nokomis,4440,0,FALSE
2012,10,215819.8292,1800,3,2,1.2,1924,Standish,Powderhorn,5040,0,FALSE
2008,9,217918.9225,1920,4,2,1,1975,St. Anthony West,Northeast,6240,0,FALSE
2009,9,238879.6494,1818,3,1,1.5,1900,Marcy Holmes,University,6105,1,TRUE
2007,3,163268.7736,682,1,1,1,1923,Como,University,5080,0,FALSE
2011,5,312522.9754,2373,3,2,1.2,1937,Diamond Lake,Nokomis,6000,1,TRUE
2013,11,295159.4703,2206,3,2,1,1953,Armatage,Southwest,6350,0,FALSE
2015,8,114813.257,2208,3,1,1.2,1916,McKinley,Camden,5774,0,FALSE
2015,5,432315.7185,2184,3,2,1.2,1921,East Harriet,Southwest,5628,1,TRUE
2010,10,305925.8,2642,3,2,1.2,1940,Waite Park,Northeast,8946,2,TRUE
2013,5,375240.3048,2640,3,2,1,1957,Armatage,Southwest,6625,2,TRUE
2008,10,255453.628,2036,3,2,1.2,1941,Northrop,Nokomis,5418,1,TRUE
2012,6,180401.4353,1360,3,1,1.5,1911,Bryn - Mawr,Calhoun-Isles,5120,0,FALSE
2006,3,251110.5058,2044,2,2,1.2,1928,Willard - Hay,Near North,5625,0,FALSE
2013,5,255719.3188,2174,3,4,2,1999,Standish,Powderhorn,5080,0,FALSE
2013,1,266972.7407,1956,3,2,1,1951,Kenny,Southwest,6840,2,TRUE
2015,4,169174.4207,2296,3,2,2,2009,Near - North,Near North,5740,0,FALSE
2013,6,210744.7353,1632,3,2,1,1946,Northrop,Nokomis,6095,0,FALSE
2013,8,309226.2354,2590,3,1,2,1922,Regina,Nokomis,4656,1,TRUE
2007,9,383867.1954,2318,3,3,1.2,1947,Hale,Nokomis,6200,1,TRUE
2011,11,339348.1329,2828,3,2,1,1957,Armatage,Southwest,6700,2,TRUE
2010,4,815324.5355,3609,4,3,2,1923,Fulton,Southwest,6864,2,TRUE
2005,3,316438.5707,1975,3,1,1.2,1917,Cooper,Longfellow,4960,0,FALSE
2009,11,103730.6204,1604,1,1,1.2,1941,Folwell,Camden,5032,0,FALSE
2014,1,392837.3058,1784,3,1,1.7,1910,Linden Hills,Southwest,5670,0,FALSE
2006,8,297294.6026,2040,4,3,1.5,1925,Audubon Park,Northeast,5120,0,FALSE
2015,8,378017.2329,2420,3,2,2.2,1910,CARAG,Calhoun-Isles,5120,1,TRUE
2013,9,110285.9316,1188,1,1,1,1925,Ericsson,Nokomis,4880,0,FALSE
2012,3,154261.4763,2750,4,2,2.5,1905,Central,Powderhorn,5152,0,FALSE
2007,7,195849.0234,2020,2,1,1.7,1902,Lyndale,Powderhorn,4248,0,FALSE
2014,8,305912.2042,2052,3,1,1,1955,Armatage,Southwest,5080,0,FALSE
2008,1,783774.0722,3588,4,4,2.5,1925,Tangletown,Southwest,5600,2,TRUE
2012,10,234852.9343,2382,4,2,2,1900,Audubon Park,Northeast,5460,0,FALSE
2014,7,743624.9568,3225,4,4,2.2,1927,Fulton,Southwest,5120,1,TRUE
2007,7,167533.5019,899,2,1,1,1950,Lind - Bohanon,Camden,5888,0,FALSE
2010,9,222654.1015,2854,3,2,2,2005,Powderhorn Park,Powderhorn,5102,0,FALSE
2015,8,241541.0972,1872,4,2,1,1952,Armatage,Southwest,6096,0,FALSE
2014,12,280466.4849,1925,2,2,1.2,1925,Diamond Lake,Nokomis,6402,1,TRUE
2006,7,457323.103,2971,3,4,2.5,1908,Seward,Longfellow,8211,1,TRUE
2006,8,189636.0039,1491,2,1,1,1922,Cleveland,Camden,5431,0,FALSE
2006,4,314732.8351,2606,4,2,1.2,1938,Willard - Hay,Near North,6350,2,TRUE
2015,11,204727.9648,1580,2,1,1.2,1925,Audubon Park,Northeast,5040,0,FALSE
2010,1,228320.1942,1725,3,1,1.2,1950,Morris Park,Nokomis,5120,0,FALSE
2013,8,137716.1127,1440,1,1,1,1909,Cooper,Longfellow,6144,0,FALSE
2006,6,268300.4955,1420,2,2,1.2,1927,Diamond Lake,Nokomis,5080,0,FALSE
2006,5,266405.3254,2018,3,2,1.2,1942,Willard - Hay,Near North,5120,0,FALSE
2010,11,221907.81,1680,2,2,1.2,1928,Hiawatha,Longfellow,10943,0,FALSE
2006,3,258082.2113,1872,3,2,1.2,1912,Willard - Hay,Near North,5680,0,FALSE
2007,6,442906.7817,2016,4,2,2,1928,Hale,Nokomis,6176,1,TRUE
2011,4,147266.858,1914,3,1,1.2,1952,Shingle Creek,Camden,5245,0,FALSE
2007,12,285935.955,1762,2,2,1.2,1924,Kenny,Southwest,5376,0,FALSE
2008,4,463967.9913,3192,3,1,1,1952,Linden Hills,Southwest,7710,0,FALSE
2014,7,325566.6052,2483,4,2,1.2,1928,Howe,Longfellow,5456,1,TRUE
2009,10,250072.93,2044,4,2,1.5,1952,Kenny,Southwest,5080,0,FALSE
2014,3,148558.9167,1425,2,1,1.5,1918,King Field,Southwest,2530,0,FALSE
2006,9,286047.3373,2240,3,1,1,1996,Folwell,Camden,5032,0,FALSE
2007,8,202989.5169,1460,5,2,1.2,1915,Seward,Longfellow,5160,0,FALSE
2012,2,787601.3997,3367,5,5,2,1951,Fulton,Southwest,6075,0,FALSE
2008,10,920821.2171,3549,5,4,2,1929,Lynnhurst,Southwest,5160,1,TRUE
2014,2,118214.1653,1952,3,1,1,1958,Jordan,Near North,5457,0,FALSE
2014,1,112755.8125,1664,2,1,1.2,1955,Shingle Creek,Camden,6280,0,FALSE
2008,9,260324.7669,1814,3,2,1.5,1904,Howe,Longfellow,8149,0,FALSE
2015,12,194890.7449,1728,2,2,1.2,1921,Standish,Powderhorn,4920,0,FALSE
2014,3,145281.8818,2604,3,3,2,2001,Near - North,Near North,5292,0,FALSE
2015,12,147418.6234,1664,2,2,1,1953,Shingle Creek,Camden,5375,0,FALSE
2006,8,280722.0098,2121,3,2,1.2,1924,Longfellow,Longfellow,5080,0,FALSE
2010,4,144683.0449,1894,2,1,1,1923,Webber - Camden,Camden,4727,0,FALSE
2014,1,131493.6588,2576,4,2,1.5,1925,Howe,Longfellow,6400,0,FALSE
2015,5,244768.5875,2416,3,2,1,1955,Diamond Lake,Nokomis,5240,2,TRUE
2009,10,201487.3322,1612,2,1,1,1951,Bryn - Mawr,Calhoun-Isles,6750,0,FALSE
2013,9,154913.6471,1878,2,1,1,1925,Diamond Lake,Nokomis,5280,1,TRUE
2010,9,212613.9961,1814,1,1,1.2,1940,Kenny,Southwest,5600,0,FALSE
2011,2,384589.9648,2990,4,2,2,1913,Tangletown,Southwest,9455,1,TRUE
